"KOL ID","KOL Name","Updates","Image Link","Source Link","AA Comments","validation error message","validation action"
"HDTD_01247","Panagiotis Kassavetis","New","https://securembm.uuhsc.utah.edu/zeus/public/mbm-media/faculty-profile?facultyPK=u6035268","https://healthcare.utah.edu/find-a-doctor/panagiotis-kassavetis","Added by AA on 04/30/2024","",""
"HDTD_03378","Shivika Chandra","New","https://med.uth.edu/neurology/wp-content/uploads/sites/58/2018/08/Chandra-Shivika-labcoat-web.jpg","https://med.uth.edu/neurology/2022/10/31/shivika-chandra-md/","Added by AA on 04/30/2024","",""
"HDTD_00210","Benzi Michael Kluger","New","https://www.urmc.rochester.edu/ecv_binary/faculty/generated/profile_web/26278.jpg","https://www.urmc.rochester.edu/people/112362219-benzi-m-kluger","Added by AA on 04/30/2024","",""
"HDTD_00209","Andrew McGarry","New","https://www.cooperhealth.org/sites/default/files/doctors/McGarry_Andrew.jpg","https://www.cooperhealth.org/doctors/andrew-mcgarry-md","Added by AA on 04/30/2024","",""
"HDTD_00190","Steven Thomas Bellows","New","https://cdn.bcm.edu/sites/default/files/profile_photos/stbellow.jpeg","https://www.bcm.edu/people-search/steven-bellows-43076","Added by AA on 04/30/2024","",""
"HDTD_07823","Sara Maguire Schaefer","New","https://res.cloudinary.com/ysm/image/upload/yms/prod/c441ea2f-92fa-497b-89d0-b1987ba38f91","https://medicine.yale.edu/profile/sara-schaefer/","Added by AA on 04/30/2024","",""
"HDTD_00867","Gamze Kilic-Berkmen","New","https://med.emory.edu/departments/pharmacology-chemical-biology/_images/faculty/hess-ellen-466x667.jpg","https://med.emory.edu/departments/pharmacology-chemical-biology/labs/hess-jinnah-lab/lab-members.html","Added by AA on 04/30/2024","",""
"HDTD_00505","Kathryn Anne Chung","New","https://www.ohsu.edu/sites/default/files/profile-photos/Kathy-Chung.jpg","https://www.ohsu.edu/providers/kathryn-a-chung-md","Added by AA on 04/30/2024","",""
"HDTD_03476","Brenton Alan Wright","New","https://neurocenter.com/wp-content/uploads/2023/06/8-grey-smile-2-x-2-scaled.jpg","https://neurocenter.com/doctors/brenton-wright-md/","Added by AA on 04/30/2024","",""
"HDTD_02690","Jianfeng Xiao","New","","","Added by AA on 04/30/2024","For Kol ID: HDTD_02690,Found blank/missing value on URL/Link columns: image_link and source_link","Please check and correct"
"HDTD_01829","Steven Vernino","New","https://s3-us-west-2.amazonaws.com/utsw-patientcare-web-production/images/vernino-steven-67844-200x200-v2.width-200.jpg","https://utswmed.org/doctors/steven-vernino/","Added by AA on 04/30/2024","",""
"HDTD_01269","Xin Xin Yu","New","https://my.clevelandclinic.org/provider/image?id=21066&width=235","https://my.clevelandclinic.org/staff/21066-xin-xin-yu","Added by AA on 04/30/2024","",""
"HDTD_14575","Hesham Ahmed Abboud","New","https://res.cloudinary.com/broadcastmed/image/fetch/q_auto,c_fit,h_160/http%3A%2F%2F55933%2Dbcmed.s3.amazonaws.com%2Fbcp%2Fimages%2ForlCMEPresenter%2FimgSource%2Fabboud.png","https://cme.uhhospitals.org/orlcmepresenter/hesham-abboud-md","Added by AA on 04/30/2024","",""
"HDTD_03408","Joseph Daniel Legacy","New","https://ufhealthjax.org/assets/profile-photos/portrait/_200x300_crop_center-center_82_line/JosephDLegacy-portrait.jpg.webp","https://ufhealthjax.org/doctors/joseph-d-legacy/bio","Added by AA on 04/30/2024","",""
"HDTD_03157","Svjetlana Miocinovic","New","https://snl.research.gatech.edu/sites/default/files/styles/people_page/public/photos/SvjetlanaM.png?h=52605a11&itok=JmTFC-1D","https://snl.research.gatech.edu/svjetlana-miocinovic","Added by AA on 04/30/2024","",""
"HDTD_12649","Coralie de Hemptinne","New","https://directory.ufhealth.org/de-hemptinne-coralie/files/profile-photo","https://neurology.ufl.edu/profile/de-hemptinne-coralie/","Added by AA on 04/30/2024","",""
"HDTD_00158","Paul E Gilbert","New","https://psychology.sdsu.edu/wp-content/uploads/profiles/paul-gilbert-300.jpg","https://psychology.sdsu.edu/people/paul-gilbert/","Added by AA on 04/30/2024","",""
"HDTD_07913","Nicholas Bourg Galifianakis","New","https://doximity-res.cloudinary.com/images/f_auto,q_auto,t_profile_photo_320x320/qhlfabphniqbmvfj9jul/nicholas-galifianakis-md-san-francisco-ca.jpg","https://www.doximity.com/pub/nicholas-galifianakis-md","Added by AA on 04/30/2024","",""
"HDTD_07849","Steven J Lubbe","New","https://lcc.northwestern.edu/people/lubbe_steven.jpg","https://www.cancer.northwestern.edu/research/membership/profile.html?id=c3f957b04a45d8439754d212663d29bd","Added by AA on 04/30/2024","",""
